"経  済   活  動@(産  業)","2001_平成13年度","2002_平成14年度","2003_平成15年度","2004_平成16年度","2005_平成17年度","2006_平成18年度","2007_平成19年度","2008_平成20年度","2009_平成21年度","2010_平成22年度","2011_平成23年度","2012_平成24年度","2013_平成25年度"
"","","","","","","","","","","","","",""
"１.産業","100.41546228584708","100.08753992471647","100.21810121717225","100.86064801800138","100.37257803379921","98.91647107926677","98.46554293372662","97.85674530538988","98.52587353021865","98.11076264721444","96.73678564774414","95.39589934794877","94.1481570554668"
"","","","","","","","","","","","","",""
"１.産業_(1)農林水産業","102.78296626340453","98.96362070328219","107.25920062792798","105.78606463046447","98.52643169458176","99.60620031484065","93.60970746753759","87.85660146822771","92.61221104931185","95.04769715285667","92.7362287747902","97.82779031369256","94.76265836663073"
"１.産業_(1)農林水産業_①農業","99.79097281291111","96.42048011013298","106.36950438796946","105.58897819044024","98.41132887265954","99.57840991836534","93.12118068558546","88.200906188526","90.67378508723756","93.57930565621298","90.43051709560514","97.81126909613009","93.6179274601655"
"１.産業_(1)農林水産業_②林業","117.5606844595925","121.50233138676502","120.03335987108179","105.14898101584349","98.02203314113788","109.17562604127266","105.66616583434178","103.96627406280624","107.09791723727157","106.57785260076894","98.6482111514471","93.2620356843867","110.2919692944267"
"１.産業_(1)農林水産業_③水産業","117.42765649375097","107.5066323196583","108.4406729543951","107.49738139855299","99.58607632416602","95.990845940607","92.64882434891939","78.62974890212227","109.30201603187098","107.20804966604706","117.7178747421443","104.36537039448469","107.50999174568143"
"","","","","","","","","","","","","",""
"１.産業_(2)鉱業","111.24982041844436","105.43804928346823","101.71636546994165","102.53757346326447","100.42754768101167","101.56892912189326","110.6674990696961","114.76700632531096","156.16601948066128","155.90181648907196","157.32203925653172","159.37108621205996","163.85629174340139"
"","","","","","","","","","","","","",""
"１.産業_(3)製造業","92.99932709173574","94.60280146117483","94.90411913758848","99.39980139662255","100.87881039920438","99.06849724024902","99.23848726760507","100.41203464437751","100.95383197666399","101.25058529175138","99.24387271059304","93.89473594230448","90.64242534187626"
"１.産業_(3)製造業_①食料品","106.88896781617781","107.11904971979082","103.90899658414159","101.49965440833819","98.49593608761478","95.58170381111394","92.82438319530078","99.58850777385474","109.51266454951893","106.98188569292168","107.29081532258557","105.86358164582528","101.68352876606626"
"１.産業_(3)製造業_②繊維","114.87838573135569","108.75814401912281","102.96726802383101","102.0352310450682","100.85311098952762","101.89303586360157","99.09514087029308","97.22880673683467","102.39834196858384","96.73760262577633","101.61448302730116","104.2026719116215","106.34356591746513"
"１.産業_(3)製造業_③パルプ・紙","105.96318787325545","104.06155057682788","106.90101840090904","106.3375555704526","99.32281264700858","93.78027296118464","92.5944419463298","97.48488680537518","125.26844811425289","114.71294839189483","108.45585455205358","113.2209946760366","103.8975537940939"
"１.産業_(3)製造業_④化学","96.82814771927494","94.19970726686499","94.50321685811016","97.47848346074713","100.64651421134634","100.29817542464212","102.7768142372204","96.53291317062366","100.95460256202735","98.44372803922965","99.25456994071766","97.21912605080303","99.05194884562108"
"１.産業_(3)製造業_⑤石油･石炭製品","83.34359460360861","94.8136975434769","96.30692613375713","109.45117734205245","102.3349873951249","93.41538204817267","92.50999432752036","82.90736163669445","108.76497740368187","121.7639580899542","114.17422618621455","93.22432506949886","74.37386097022546"
"１.産業_(3)製造業_⑥窯業･土石製品","111.64096651428395","107.52623389692823","105.13419207453816","101.91884794527017","100.6183493731989","98.110023864303","95.62655340307697","89.81097185836467","114.57987361301154","105.66071113835251","100.11979175761196","98.83219853158381","98.16737736333921"
"１.産業_(3)製造業_⑦鉄鋼","75.82897248121604","76.93364020088775","81.26403528548836","93.09264865658398","101.31637665384396","101.23192496895672","103.23049307327396","121.86321408869192","104.1625645067385","104.20158909532911","107.09994174318922","100.46607369950158","98.58645802495344"
"１.産業_(3)製造業_⑧非鉄金属","102.5132708995895","98.85392157938647","96.70773654631091","100.05185639135303","105.61656117093663","131.01445466540133","140.5051063099841","115.45145118326978","125.82930409938444","98.79012754391646","87.16534194719094","92.26949482706071","82.51836456187789"
"１.産業_(3)製造業_⑨金属製品","102.91644374826308","101.68288745627979","100.71307598802986","100.84033602174422","100.49817620704849","99.28965901553214","99.64786126562454","99.92730989465964","102.33809018573565","98.80944909853058","96.99401713562659","102.95909246551369","105.34926139935081"
"１.産業_(3)製造業_⑩一般機械","107.80555032231915","105.9716943314626","103.15225281374869","100.71863745309322","100.33854019033402","99.73276202413913","99.32811069159987","96.42014883956568","96.9735403334507","94.16345339190208","92.06324136313216","94.55466542708122","96.45337524588156"
"１.産業_(3)製造業_⑪電気機械","219.73724431734692","160.76208534699404","131.22671417949812","114.95716510986169","100.38372781717146","90.04124037983384","77.67940099949246","61.81301700873318","57.8299180151878","45.99077156976532","38.75792802885288","36.0901032405439","36.46658714980567"
"１.産業_(3)製造業_⑫輸送機械","103.98248522230817","103.68658817916445","103.32121169695199","100.49128228749396","100.42561770810426","101.0056787880842","100.52976767774994","98.04684960260047","99.44822023738237","96.32355201865403","94.11225956896962","95.30598677606677","99.06087470659075"
"１.産業_(3)製造業_⑬精密機械","103.8435011511034","104.07367293137892","102.26769262138278","98.41762894350015","100.52069095144078","95.80463705834455","93.050711982142","89.77690529266472","137.53641036006482","133.08757777263625","130.03800593444464","131.13142722920475","135.3335540706379"
"１.産業_(3)製造業_⑭その他の製造業","96.31832506674903","98.5882335565477","99.57507417010804","100.4397127104762","99.73990542715673","99.45643646628616","97.95711745905452","97.95764331322722","103.13683656393742","100.06338546415161","97.02125447642413","98.0431102750525","98.00429169809426"
"","","","","","","","","","","","","",""
"１.産業_(4)建設業","100.9963521021268","99.48593847270814","100.52368390303002","100.60686723974521","100.34234939673543","100.84401632227554","102.58683685298733","104.72650235515775","102.28508050776277","102.48190632963468","102.21373315043924","101.8417283494565","102.80374554199452"
"","","","","","","","","","","","","",""
